attack,defense,hp,name,sp_attack,sp_defense,speed,type1,type2
49,49,45,Bulbasaur,65,65,45,grass,poison
62,63,60,Ivysaur,80,80,60,grass,poison
100,123,80,Venusaur,122,120,80,grass,poison
52,43,39,Charmander,60,50,65,fire,
64,58,58,Charmeleon,80,65,80,fire,
104,78,78,Charizard,159,115,100,fire,flying
48,65,44,Squirtle,50,64,43,water,
63,80,59,Wartortle,65,80,58,water,
103,120,79,Blastoise,135,115,78,water,
30,35,45,Caterpie,20,20,45,bug,
20,55,50,Metapod,25,25,30,bug,
45,50,60,Butterfree,90,80,70,bug,flying
35,30,40,Weedle,20,20,50,bug,poison
25,50,45,Kakuna,25,25,35,bug,poison
150,40,65,Beedrill,15,80,145,bug,poison
45,40,40,Pidgey,35,35,56,normal,flying
60,55,63,Pidgeotto,50,50,71,normal,flying
80,80,83,Pidgeot,135,80,121,normal,flying
56,35,30,Rattata,25,35,72,normal,dark
71,70,75,Raticate,40,80,77,normal,dark
60,30,40,Spearow,31,31,70,normal,flying
90,65,65,Fearow,61,61,100,normal,flying
60,44,35,Ekans,40,54,55,poison,
95,69,60,Arbok,65,79,80,poison,
55,40,35,Pikachu,50,50,90,electric,
85,50,60,Raichu,95,85,110,electric,electric
75,90,50,Sandshrew,10,35,40,ground,ice
100,120,75,Sandslash,25,65,65,ground,ice
47,52,55,Nidoran♀,40,40,41,poison,
62,67,70,Nidorina,55,55,56,poison,
92,87,90,Nidoqueen,75,85,76,poison,ground
57,40,46,Nidoran♂,40,40,50,poison,
72,57,61,Nidorino,55,55,65,poison,
102,77,81,Nidoking,85,75,85,poison,ground
45,48,70,Clefairy,60,65,35,fairy,
70,73,95,Clefable,95,90,60,fairy,
41,40,38,Vulpix,50,65,65,fire,ice
67,75,73,Ninetales,81,100,109,fire,ice
45,20,115,Jigglypuff,45,25,20,normal,fairy
70,45,140,Wigglytuff,85,50,45,normal,fairy
45,35,40,Zubat,30,40,55,poison,flying
80,70,75,Golbat,65,75,90,poison,flying
50,55,45,Oddish,75,65,30,grass,poison
65,70,60,Gloom,85,75,40,grass,poison
80,85,75,Vileplume,110,90,50,grass,poison
70,55,35,Paras,45,55,25,bug,grass
95,80,60,Parasect,60,80,30,bug,grass
55,50,60,Venonat,40,55,45,bug,poison
65,60,70,Venomoth,90,75,90,bug,poison
55,30,10,Diglett,35,45,90,ground,ground
